상품명,제조사,칩셋명,가격,판매몰,출시일
GIGABYTE 지포스 RTX 4060 Ti EAGLE D6 8GB 피씨디렉트,GIGABYTE,RTX 4060 Ti,607990.0,189,2023-05-01
이엠텍 지포스 RTX 4070 Ti GAMINGPRO OC D6X 12GB,이엠텍,RTX 4070 Ti,1187820.0,298,2023-02-01
MSI 지포스 RTX 4080 게이밍 X 슬림 D6X 16GB 트라이프로져3,MSI,RTX 4080,1746910.0,206,2023-11-01
ASUS DUAL 지포스 RTX 4060 D6 8GB,ASUS,RTX 4060,442810.0,110,2023-10-01
ASUS TUF Gaming 지포스 RTX 4070 Ti O12G OC D6X 12GB,ASUS,RTX 4070 Ti,1220000.0,295,2023-01-01
ZOTAC GAMING 지포스 RTX 4080 AMP EXTREME AIRO D6X 16GB,ZOTAC,RTX 4080,1566950.0,273,2022-11-01
GIGABYTE 지포스 RTX 4060 WINDFORCE OC D6 8GB 피씨디렉트,GIGABYTE,RTX 4060,404180.0,244,2023-06-01
MSI 지포스 RTX 4070 게이밍 X 슬림 화이트 D6X 12GB 트라이프로져3,MSI,RTX 4070,868780.0,245,2023-08-01
ASUS ProArt 지포스 RTX 4060 O8G OC D6 8GB,ASUS,RTX 4060,464190.0,139,2023-08-01
이엠텍 지포스 RTX 4070 GAMINGPRO D6X 12GB 나이트 크로우 Edition,이엠텍,RTX 4070,803750.0,200,2023-09-01
ZOTAC GAMING 지포스 RTX 4060 Ti TWIN Edge OC D6 8GB White,ZOTAC,RTX 4060 Ti,595860.0,210,2023-06-01
COLORFUL 지포스 RTX 3060 토마호크 DUO D6 8GB,COLORFUL,RTX 3060,334140.0,260,2023-01-01
MSI 지포스 RTX 4060 Ti 게이밍 X D6 8GB 트윈프로져9,MSI,RTX 4060 Ti,583480.0,279,2023-06-01
MSI 지포스 RTX 4060 Ti 게이밍 X 트리오 D6 8GB 트라이프로져3,MSI,RTX 4060 Ti,610710.0,159,2023-05-01
이엠텍 지포스 GTX 1650 MIRACLE NEW D6 4GB,이엠텍,GTX 1650,190750.0,270,2023-03-01
GAINWARD 지포스 RTX 4060 고스트 D6 8GB,GAINWARD,RTX 4060,403600.0,114,2023-06-01
GIGABYTE 지포스 RTX 4070 WINDFORCE OC D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070,834840.0,229,2023-04-01
GIGABYTE 지포스 RTX 4070 Ti AERO OC V2 D6X 12GB 제이씨현,GIGABYTE,RTX 4070 Ti,1208920.0,250,2023-06-01
이엠텍 지포스 RTX 4070 Ti GAMEROCK OC D6X 12GB,이엠텍,RTX 4070 Ti,1230050.0,300,2023-02-01
이도디스플레이 지포스 GTX 1660 SUPER RAGE-X D6 6GB,이도디스플레이,GTX 1660 SUPER,233000.0,4,2023-08-01
ASUS ROG STRIX 지포스 RTX 4090 O24G GAMING OC D6X 24GB White,ASUS,RTX 4090,4008860.0,36,2023-05-01
MSI 지포스 RTX 4070 Ti 벤투스 3X E OC D6X 12GB,MSI,RTX 4070 Ti,1106100.0,242,2023-09-01
AFOX 지포스 GT1030 L5 D5 2GB LP 디앤디컴,AFOX,GT1030,97000.0,50,2023-10-01
STCOM 지포스 RTX 4070 Ti D6X 12GB,STCOM,RTX 4070 Ti,1126730.0,106,2023-11-01
GIGABYTE 지포스 RTX 4060 UD2 OC D6 8GB Nano LP 제이씨현,GIGABYTE,RTX 4060,453940.0,198,2023-08-01
이엠텍 지포스 RTX 4060 MIRACLE BLACK D6 8GB,이엠텍,RTX 4060,419580.0,245,2023-07-01
갤럭시 갤라즈 GALAX 지포스 RTX 3060 D6 8GB,갤럭시,RTX 3060,356130.0,227,2022-10-01
이엠텍 지포스 GTX 1050 Ti MIRACLE II D5 4GB,이엠텍,GTX1050 Ti,185010.0,275,2023-02-01
ASUS ROG STRIX 지포스 RTX 4070 Ti O12G GAMING OC D6X 12GB,ASUS,RTX 4070 Ti,1385090.0,242,2023-01-01
COLORFUL iGame 지포스 RTX 3060 Ultra OC D6 8GB White,COLORFUL,RTX 3060,355400.0,290,2023-03-01
갤럭시 GALAX 지포스 RTX 4070 EX GAMER BLACK OC D6X 12GB,갤럭시,RTX 4070,881950.0,245,2023-04-01
이엠텍 지포스 RTX 3060 Ti STORM X Dual OC D6 8GB,이엠텍,RTX 3060 Ti,616000.0,31,2020-12-01
COLORFUL iGame 지포스 RTX 4070 Ti Vulcan OC D6X 12GB,COLORFUL,RTX 4070 Ti,1193800.0,145,2023-02-01
ASUS DUAL 지포스 RTX 4060 Ti O8G OC D6 8GB White,ASUS,RTX 4060 Ti,578600.0,143,2023-06-01
갤럭시 GALAX 지포스 RTX 4060 Ti EX BLACK OC D6 8GB,갤럭시,RTX 4060 Ti,593060.0,298,2023-05-01
MANLI 지포스 RTX 3060 Ti Rush D6X 8GB,MANLI,RTX 3060 Ti,453360.0,170,2023-03-01
ASUS DUAL 지포스 RTX 3060 O12G OC D6 12GB,ASUS,RTX 3060,398280.0,243,2021-03-01
ASUS TUF Gaming 지포스 RTX 4080 O16G OC D6X 16GB,ASUS,RTX 4080,1798220.0,249,2022-11-01
GIGABYTE 지포스 RTX 3060 Gaming OC D6 8GB 피씨디렉트,GIGABYTE,RTX 3060,355540.0,210,2022-11-01
이엠텍 지포스 RTX 4070 MIRACLE BLACK D6X 12GB,이엠텍,RTX 4070,785140.0,128,2023-11-01
GIGABYTE 지포스 RTX 4070 AERO OC D6X 12GB 제이씨현,GIGABYTE,RTX 4070,890250.0,216,2023-04-01
COLORFUL iGame 지포스 RTX 4060 Ti ULTRA OC D6 8GB White,COLORFUL,RTX 4060 Ti,597200.0,257,2023-06-01
ASUS TUF Gaming 지포스 RTX 4060 Ti O8G OC D6 8GB,ASUS,RTX 4060 Ti,628260.0,256,2023-05-01
STCOM 지포스 RTX 4060 D6 8GB,STCOM,RTX 4060,406600.0,125,2023-09-01
이엠텍 지포스 RTX 4090 GAMEROCK D6X 24GB,이엠텍,RTX 4090,2894990.0,88,2022-10-01
이엠텍 지포스 RTX 4070 STORM X Dual OC D6X 12GB,이엠텍,RTX 4070,806010.0,316,2023-04-01
갤럭시 갤라즈 GALAX 지포스 RTX 3050 EX BLACK OC D6 8GB,갤럭시,RTX 3050,309600.0,243,2022-01-01
GIGABYTE 지포스 RTX 4070 Ti Gaming OC D6X 12GB 피씨디렉트,GIGABYTE,RTX 4070 Ti,1165670.0,247,2023-01-01
갤럭시 GALAX 지포스 RTX 4060 EX BLACK OC D6 8GB,갤럭시,RTX 4060,470970.0,245,2023-06-01
GIGABYTE AORUS 지포스 RTX 4080 Master D6X 16GB 피씨디렉트,GIGABYTE,RTX 4080,1894380.0,149,2022-11-01
갤럭시 GALAX 지포스 RTX 3060 EX WHITE OC V2 D6 12GB,갤럭시,RTX 3060,465000.0,18,2021-08-01
GIGABYTE 지포스 RTX 4060 Gaming OC D6 8GB 제이씨현,GIGABYTE,RTX 4060,459260.0,239,2023-06-01
ZOTAC GAMING 지포스 RTX 3050 TWIN Edge OC D6 8GB,ZOTAC,RTX 3050,295050.0,200,2022-01-01
COLORFUL iGame 지포스 RTX 4070 Ultra OC White V2 D6X 12GB,COLORFUL,RTX 4070,836760.0,187,2023-04-01
GIGABYTE 지포스 RTX 4070 KOREA EDITION OC D6X 12GB 제이씨현,GIGABYTE,RTX 4070,815570.0,184,2023-04-01
GIGABYTE 지포스 RTX 4060 Ti EAGLE OC D6 8GB 제이씨현,GIGABYTE,RTX 4060 Ti,598680.0,64,2023-05-01
COLORFUL 지포스 GTX 1630 토마호크 D6 4GB,COLORFUL,GTX 1630,162730.0,270,2022-06-01
ASUS DUAL 지포스 RTX 4070 O12G OC D6X 12GB,ASUS,RTX 4070,859530.0,95,2023-04-01
이엠텍 지포스 RTX 4070 Ti GAMEROCK D6X 12GB,이엠텍,RTX 4070 Ti,1186310.0,273,2023-02-01
GIGABYTE 지포스 RTX 4090 AERO OC D6X 24GB 피씨디렉트,GIGABYTE,RTX 4090,3149990.0,104,2023-02-01
GIGABYTE 지포스 RTX 4060 AERO OC D6 8GB 제이씨현,GIGABYTE,RTX 4060,486700.0,176,2023-06-01
GIGABYTE 지포스 RTX 4060 Ti AERO OC D6 16GB 피씨디렉트,GIGABYTE,RTX 4060 Ti,782990.0,137,2023-08-01
GIGABYTE 지포스 RTX 4060 Ti AERO OC D6 8GB 피씨디렉트,GIGABYTE,RTX 4060 Ti,638980.0,220,2023-05-01
갤럭시 GALAX 지포스 GTX 1660 SUPER OC D6 6GB,갤럭시,GTX 1660 SUPER,291300.0,218,2019-10-01
GAINWARD 지포스 RTX 4070 Ti 팬서 D6X 12GB,GAINWARD,RTX 4070 Ti,1169000.0,10,2023-07-01
갤럭시 GALAX 지포스 RTX 4070 3X OC D6X 12GB,갤럭시,RTX 4070,860210.0,235,2023-05-01
COLORFUL 지포스 RTX 4070 Ti 토마호크 EX D6X 12GB,COLORFUL,RTX 4070 Ti,1083920.0,246,2023-01-01
GIGABYTE 지포스 RTX 4070 WINDFORCE 2X OC D6X 12GB 제이씨현,GIGABYTE,RTX 4070,789070.0,123,2023-11-01
GIGABYTE 지포스 RTX 4090 AERO OC D6X 24GB 제이씨현,GIGABYTE,RTX 4090,2841060.0,13,2023-02-01
갤럭시 GALAX 지포스 RTX 4070 2X D6X 12GB,갤럭시,RTX 4070,823280.0,168,2023-07-01
COLORFUL 지포스 RTX 4060 Ti 토마호크 EX D6 8GB,COLORFUL,RTX 4060 Ti,581990.0,237,2023-06-01
PNY 지포스 RTX 4070 VERTO D6X 12GB Dual 제이씨현,PNY,RTX 4070,777790.0,135,2023-04-01
GIGABYTE 지포스 RTX 4080 Gaming OC D6X 16GB 피씨디렉트,GIGABYTE,RTX 4080,1622100.0,199,2022-11-01
갤럭시 BOY 지포스 RTX 4060 Ti EX OC D6 8GB,갤럭시,RTX 4060 Ti,599830.0,141,2023-08-01
갤럭시 갤라즈 BOY 지포스 RTX 3060 D6 8GB,갤럭시,RTX 3060,345750.0,183,2022-11-01
MANLI 지포스 RTX 4070 Rush D6X 12GB,MANLI,RTX 4070,791340.0,221,2023-04-01
GIGABYTE 지포스 RTX 4070 Ti EAGLE OC V2 D6X 12GB 제이씨현,GIGABYTE,RTX 4070 Ti,1166350.0,219,2023-05-01
ASUS DUAL 지포스 RTX 3060 O8G OC D6 8GB White,ASUS,RTX 3060,388500.0,169,2023-03-01
갤럭시 GALAX 지포스 RTX 4060 1X D6 8GB,갤럭시,RTX 4060,413740.0,188,2023-08-01
PNY XLR8 지포스 RTX 4080 VERTO EPIC-X RGB TF OC D6X 16GB 제이씨현,PNY,RTX 4080,1627490.0,64,2022-11-01
GIGABYTE 지포스 RTX 4060 EAGLE OC D6 8GB 제이씨현,GIGABYTE,RTX 4060,451440.0,237,2023-06-01
COLORFUL iGame 지포스 RTX 4070 Ti Ultra OC D6X 12GB White,COLORFUL,RTX 4070 Ti,1160830.0,187,2023-02-01
PNY 지포스 RTX 3050 VERTO D6 8GB Dual 제이씨현,PNY,RTX 3050,288980.0,95,2022-09-01
PNY XLR8 지포스 RTX 4070 Ti VERTO EPIC-X RGB TF OC D6X 12GB 제이씨현,PNY,RTX 4070 Ti,1017000.0,124,2023-01-01
